Sales Amount (Home),Target Gross Profit (%),Client_ADES Advanced Energy Systems,Client_AGGREGO Services DMCC,Client_ALFA LULA ALTO HOLDING,Client_Ace Water Pte Ltd,Client_Amazon Automation Pte Ltd,Client_Aqua-Terra Oilfield Equipment & Services Pte Ltd,Client_Artech Ultrasonic Systems Pte Ltd,"Client_Atlantica Delta, Ltd.",Client_Attila Cybertech Pte Ltd,Client_Atwood Offshore Drilling Ltd.,Client_BORR GERD Inc.,Client_BORR GROA INC. (MARSHALL ISL),Client_BORR NJORD INC.,Client_BORR NORVE INC.,Client_BT Titanium Pte Ltd,Client_Baker Engineering Pte Ltd,"Client_BassDrill Beta, Ltd","Client_BassDrill Beta, Ltd.",Client_Beta Lula Central Holding c/o SBM Holding Inc.,Client_Borr Galar Inc.,Client_Borr Gerd Inc (Marshall Isl),Client_Borr Gersemi Inc (Marshall Isl),Client_Borr Grid Inc (Marshall Isl),Client_Borr Groa Inc.,Client_Borr Gunnlod Inc (Marshall Isl),Client_Borr Natt Inc (Marshall IsI),Client_Borr West Africa Assets Inc (Gabon Br),Client_Bumi Armada (Singapore) Pte Ltd,"Client_COSCO (Dalian) Shipyard Co., Ltd","Client_COSCO (Qidong) Offshore Co., Ltd",Client_COSL Drilling Pan-Pacific (Labuan) Ltd,Client_CUMMINS ASIA PACIFIC PTE LTD,"Client_China Merchants Heavy Industry (Jiangsu) Co., Ltd","Client_China Merchants Heavy Industry (Shenzhen) Co., Ltd",Client_Cummins Asia Pacific Pte Ltd,Client_Cummins Ltd,Client_Cummins Power Generation,Client_Cummins Power Generation (S) Pte Ltd,Client_Cummins Power Generation Ltd,Client_Cummins Sales and Service Singapore Pte Ltd,Client_DNOW Singapore Pte Ltd,Client_Drilling & Petroleum Services Co. Ltd.,Client_EPBOX ENGINEERING PTE.LTD,Client_EXXONMOBIL ASIA PACIFIC PTE LTD,Client_Egyptian Drilling Company,Client_Emerson Asia Pacific Private Limited,Client_Energy Drilling Pte. Ltd,Client_Equatorial Marine Fuel Management Services Pte Ltd,Client_Excel Marco Industrial Systems Pte Ltd,Client_Flemming Automationstechnik GmbH,Client_Global Offshore & Marine Pte Ltd,Client_Guara Norte Holding Ltd,Client_Gulf Agency Co.(Bahrain) W.L.L.,Client_HSL CONSTRUCTOR PTE LTD,Client_Harris Pye DMCC,Client_Harris Pye United Kingdom Ltd,Client_Heerema Marine Contractors Ned. SE,Client_Hercules Offshore Inc.,Client_IEMS Pte Ltd,Client_Japan Drilling (Netherlands) B.V.,Client_Japan Drilling Company,"Client_JiangsuTianyuan Marine Import And Export Co.,Ltd",Client_Jurong Shipyard Pte Ltd,Client_Katoen Natie Singapore (Jurong) Pte Ltd,Client_Keppel FELS Limited,Client_Lamprell Energy Ltd,Client_Linde Gas Singapore Pte. Ltd,Client_Mitsubishi Electric Asia Pte Ltd,"Client_Modec International, Inc.",Client_Northern Offshore Drilling Operations Ltd,Client_OMC CORPORATION PTE LTD,Client_Offshore Technology Development Pte Ltd,Client_Ovivo Singapore Pte Ltd,Client_Ovivo UK Ltd,"Client_POSCO Engineering Co., Ltd.",Client_PPL Shipyard Pte Ltd,Client_PT Apexindo Pratama Duta Tbk.,Client_PT. Tamco Indonesia,Client_PTT Global Chemical Public Company Limited,Client_Perisai Drilling Sdn Bhd,Client_Principia,Client_Pro-Ace Offshore Engineering Pte Ltd,Client_Public Utilities Board,"Client_Qingdao Wuchuan Heavy Industry Co.,Ltd.","Client_Rowan Companies, Inc.",Client_SBM Group Operations S.A.,Client_SBM Offshore Group,Client_SBM Stones Operations LLC,Client_SELECTIVE MARINE SERVICES Co. (L.L.C.),Client_SHELF DRILLING OFFSHORE HOLDINGS LTD,Client_SVT GmbH,"Client_Saipem (Portugal) Comercio Maritimo,",Client_Sembcorp Marine Integrated Yard Pte. Ltd.,Client_Sembcorp Marine Ltd,"Client_Shanghai Waigaoqiao Shipbuilding & Offshore Co., Ltd.","Client_Shanghai Waigaoqiao Shipbuilding Co., Ltd",Client_Shelf Drilling,Client_Shell Offshore Inc,Client_Siemens Pte Ltd,Client_Single Buoy Moorings Inc.,Client_Sinopec Offshore Oilfield Services Company Shanghai Drilling Division,Client_TALKE USA Inc.,Client_TEDAGUA SINGAPORE PTE. LTD,Client_The Masters and Owners OSX 2 Leasing B.V. of M/V OSX 2,Client_Vantage Driller VI Co.(CI),Client_Vantage Drilling,Client_Vantage Intl Management Co Pte Ltd,Client_Vector InfoTech Pte Ltd,Client_Velesto Drilling Sdn Bhd,Client_ZWEEC Analytics Pte Ltd,Client_大连中远海运重工有限公司,Client_玛尔科自控设备（上海）有限公司,Bryan Wong,Chay Foo Cheong,Edward Aung,Eric Tan,Felix Tan,Ganesh Nath S/O Kedar Nath,Gu Chengzhuo,Huang Guoqing,Kong Swee Suang,Low Meng Hong,Naing Win Kyaw,Ng Keat Siong,Saw Mar Mar,Tony Tan,Trizel Chong,Xia BoFeng,Project No_A,Project No_B,Project No_C,Project No_D,Project No_I,Project No_M,Project No_S,Country_O,Country_S,Actual Gross Profit (%)
498790.0,30.0684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32.995631
491990.0,28.9048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32.710116
503380.0,32.2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,43.539533
503380.0,34.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37.468519
515410.68,30.661899999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.841443
503380.0,29.1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34.036388
495000.0,23.1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23.704507
503320.0,26.7787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,28.991816
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
